Family_Class,Family,Class,Transect,Count,Date,Site,Depth,Data recorded by
Snappers 0-20cm,Snappers,0-20cm,Transect_1,10,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_2,3,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_3,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_4,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_5,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_1,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_2,4,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_3,4,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_4,2,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_5,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_1,3,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_2,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_3,6,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_4,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_5,4,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_1,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_2,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_3,8,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_4,2,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_5,2,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_1,6,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_2,1,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_3,0,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_4,8,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_5,5,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_1,3,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_2,2,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_3,2,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_4,0,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_5,3,June 11 2024,Test Site 2,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_1,1,June 11 2024,Test Site 2,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_2,0,June 11 2024,Test Site 2,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_3,0,June 11 2024,Test Site 2,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_4,7,June 11 2024,Test Site 2,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_5,5,June 11 2024,Test Site 2,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_1,3,June 11 2024,Test Site 2,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_2,0,June 11 2024,Test Site 2,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_3,9,June 11 2024,Test Site 2,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_4,3,June 11 2024,Test Site 2,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_5,2,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_1,6,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_2,1,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_3,3,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_4,4,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_5,0,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_1,8,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_2,9,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_3,2,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_4,2,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_5,1,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_1,7,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_2,9,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_3,5,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_4,6,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_5,3,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_1,2,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_2,1,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_3,1,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_4,5,June 11 2024,Test Site 2,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_5,4,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_1,0,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_2,4,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_3,8,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_4,8,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_5,2,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_1,0,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_2,1,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_3,9,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_4,0,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_5,0,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_1,0,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_2,3,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_3,4,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_4,4,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_5,8,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_1,4,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_2,7,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_3,2,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_4,6,June 11 2024,Test Site 2,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_5,7,June 11 2024,Test Site 2,30 m,Chantale
Other,Other,NA,Transect_1,0,June 11 2024,Test Site 2,30 m,Chantale
Other,Other,NA,Transect_2,1,June 11 2024,Test Site 2,30 m,Chantale
Other,Other,NA,Transect_3,6,June 11 2024,Test Site 2,30 m,Chantale
Other,Other,NA,Transect_4,0,June 11 2024,Test Site 2,30 m,Chantale
Other,Other,NA,Transect_5,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_1,0,June 11 2024,Test Site,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_2,3,June 11 2024,Test Site,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_3,0,June 11 2024,Test Site,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_4,2,June 11 2024,Test Site,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_5,2,June 11 2024,Test Site,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_1,0,June 11 2024,Test Site,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_2,0,June 11 2024,Test Site,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_3,0,June 11 2024,Test Site,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_4,2,June 11 2024,Test Site,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_5,1,June 11 2024,Test Site,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_1,3,June 11 2024,Test Site,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_2,0,June 11 2024,Test Site,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_3,0,June 11 2024,Test Site,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_4,0,June 11 2024,Test Site,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_5,8,June 11 2024,Test Site,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_1,1,June 11 2024,Test Site,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_2,4,June 11 2024,Test Site,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_3,2,June 11 2024,Test Site,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_4,2,June 11 2024,Test Site,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_5,2,June 11 2024,Test Site,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_1,6,June 11 2024,Test Site,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_2,1,June 11 2024,Test Site,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_3,0,June 11 2024,Test Site,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_4,8,June 11 2024,Test Site,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_5,5,June 11 2024,Test Site,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_1,0,June 11 2024,Test Site,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_2,2,June 11 2024,Test Site,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_3,2,June 11 2024,Test Site,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_4,0,June 11 2024,Test Site,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_5,3,June 11 2024,Test Site,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_1,1,June 11 2024,Test Site,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_2,0,June 11 2024,Test Site,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_3,3,June 11 2024,Test Site,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_4,3,June 11 2024,Test Site,30 m,Chantale
Groupers 40-60cm,Groupers,40-60cm,Transect_5,5,June 11 2024,Test Site,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_1,8,June 11 2024,Test Site,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_2,0,June 11 2024,Test Site,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_3,5,June 11 2024,Test Site,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_4,3,June 11 2024,Test Site,30 m,Chantale
Groupers >60 cm,Groupers,>60,Transect_5,1,June 11 2024,Test Site,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_1,5,June 11 2024,Test Site,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_2,0,June 11 2024,Test Site,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_3,0,June 11 2024,Test Site,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_4,0,June 11 2024,Test Site,30 m,Chantale
Parrotfish 0-20cm,Parrotfish,0-20cm,Transect_5,0,June 11 2024,Test Site,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_1,8,June 11 2024,Test Site,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_2,9,June 11 2024,Test Site,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_3,0,June 11 2024,Test Site,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_4,8,June 11 2024,Test Site,30 m,Chantale
Parrotfish 20-40cm,Parrotfish,20-40cm,Transect_5,0,June 11 2024,Test Site,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_1,1,June 11 2024,Test Site,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_2,7,June 11 2024,Test Site,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_3,2,June 11 2024,Test Site,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_4,6,June 11 2024,Test Site,30 m,Chantale
Parrotfish 40-60cm,Parrotfish,40-60cm,Transect_5,3,June 11 2024,Test Site,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_1,2,June 11 2024,Test Site,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_2,1,June 11 2024,Test Site,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_3,9,June 11 2024,Test Site,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_4,5,June 11 2024,Test Site,30 m,Chantale
Parrotfish >60 cm,Parrotfish,>60,Transect_5,4,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_1,0,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_2,3,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_3,8,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_4,4,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 0-10cm,Surgeonfish,0-10cm,Transect_5,8,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_1,0,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_2,1,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_3,7,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_4,6,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 10-20cm,Surgeonfish,10-20cm,Transect_5,0,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_1,6,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_2,12,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_3,4,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_4,4,June 11 2024,Test Site,30 m,Chantale
Surgeonfish 20-30cm,Surgeonfish,20-30cm,Transect_5,8,June 11 2024,Test Site,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_1,4,June 11 2024,Test Site,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_2,7,June 11 2024,Test Site,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_3,2,June 11 2024,Test Site,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_4,8,June 11 2024,Test Site,30 m,Chantale
Surgeonfish >30 cm,Surgeonfish,>30,Transect_5,7,June 11 2024,Test Site,30 m,Chantale
Other,Other,NA,Transect_1,0,June 11 2024,Test Site,30 m,Chantale
Other,Other,NA,Transect_2,1,June 11 2024,Test Site,30 m,Chantale
