"Family","Class","Transect","Count","Date","Site","Depth","Data recorded by"
"Snappers","0-20cm","Transect_1",15,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","0-20cm","Transect_2",3,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","0-20cm","Transect_3",0,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","0-20cm","Transect_4",6,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","0-20cm","Transect_5",0,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","20-40cm","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","20-40cm","Transect_2",23,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","20-40cm","Transect_3",2,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","20-40cm","Transect_4",2,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","20-40cm","Transect_5",1,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","40-60cm","Transect_1",3,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","40-60cm","Transect_2",4,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","40-60cm","Transect_3",5,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","40-60cm","Transect_4",0,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","40-60cm","Transect_5",5,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","60-80cm","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","60-80cm","Transect_2",1,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","60-80cm","Transect_3",0,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","60-80cm","Transect_4",4,"June 8 2024","Test Site","15 m","Noelle"
"Snappers","60-80cm","Transect_5",2,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","0-20cm","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","0-20cm","Transect_2",1,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","0-20cm","Transect_3",10,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","0-20cm","Transect_4",8,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","0-20cm","Transect_5",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","20-40cm","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","20-40cm","Transect_2",3,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","20-40cm","Transect_3",3,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","20-40cm","Transect_4",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","20-40cm","Transect_5",3,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","40-60cm","Transect_1",1,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","40-60cm","Transect_2",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","40-60cm","Transect_3",6,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","40-60cm","Transect_4",3,"June 8 2024","Test Site","15 m","Noelle"
"Groupers","40-60cm","Transect_5",5,"June 8 2024","Test Site","15 m","Noelle"
"Groupers",">60","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers",">60","Transect_2",0,"June 8 2024","Test Site","15 m","Noelle"
"Groupers",">60","Transect_3",1,"June 8 2024","Test Site","15 m","Noelle"
"Groupers",">60","Transect_4",1,"June 8 2024","Test Site","15 m","Noelle"
"Groupers",">60","Transect_5",2,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","0-20cm","Transect_1",5,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","0-20cm","Transect_2",5,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","0-20cm","Transect_3",0,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","0-20cm","Transect_4",0,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","0-20cm","Transect_5",0,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","20-40cm","Transect_1",3,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","20-40cm","Transect_2",2,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","20-40cm","Transect_3",2,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","20-40cm","Transect_4",3,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","20-40cm","Transect_5",1,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","40-60cm","Transect_1",1,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","40-60cm","Transect_2",7,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","40-60cm","Transect_3",5,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","40-60cm","Transect_4",1,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish","40-60cm","Transect_5",5,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish",">60","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish",">60","Transect_2",1,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish",">60","Transect_3",1,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish",">60","Transect_4",5,"June 8 2024","Test Site","15 m","Noelle"
"Parrotfish",">60","Transect_5",4,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","0-10cm","Transect_1",0,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","0-10cm","Transect_2",10,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","0-10cm","Transect_3",8,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","0-10cm","Transect_4",8,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","0-10cm","Transect_5",8,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","10-20cm","Transect_1",5,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","10-20cm","Transect_2",0,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","10-20cm","Transect_3",9,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","10-20cm","Transect_4",4,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","10-20cm","Transect_5",0,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","20-30cm","Transect_1",12,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","20-30cm","Transect_2",3,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","20-30cm","Transect_3",4,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","20-30cm","Transect_4",1,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish","20-30cm","Transect_5",8,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish",">30","Transect_1",4,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish",">30","Transect_2",14,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish",">30","Transect_3",2,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish",">30","Transect_4",0,"June 8 2024","Test Site","15 m","Noelle"
"Surgeonfish",">30","Transect_5",7,"June 8 2024","Test Site","15 m","Noelle"
"Other",NA,"Transect_1",NA,"June 8 2024","Test Site","15 m","Noelle"
"Other",NA,"Transect_2",NA,"June 8 2024","Test Site","15 m","Noelle"
"Other",NA,"Transect_3",0,"June 8 2024","Test Site","15 m","Noelle"
"Other",NA,"Transect_4",0,"June 8 2024","Test Site","15 m","Noelle"
"Other",NA,"Transect_5",0,"June 8 2024","Test Site","15 m","Noelle"
